trial_index,Drug,SL_1,SL_2,SL_3,LL_1,LL_2,LL_3,P_1,P_2,P_3,S_1,S_2,S_3,Water,Complexity,Complexity_STD,Formulation,Size,Size_STD,PDI,PDI_STD,Formulation Quality,Solu,Solu_STD,iteration,Theoretical loading,Theoretical loading_STD
23,0.092,0.0,0.169,0.0,0.121,0.098,0.094,0.13,0.107,0.188,0.0,0.328,0.0,0.672,8,0,Formulation 8,212.2759500244201,6.783976215978708,0.2116166011010232,0.01356005989918873,1,184.0,0,1,0.092,0
24,0.044,0.0,0.0,0.0,0.0,0.289,0.311,0.356,0.0,0.0,0.0,1.0,0.0,0.0,4,0,Formulation 9,1000.0,0.0,1.0,0.0,0,0.0,0,1,0.0,0
25,0.31,0.0,0.145,0.0,0.0,0.198,0.347,0.0,0.0,0.0,0.47,0.53,0.0,0.0,5,0,Formulation 10,1000.0,0.0,1.0,0.0,0,0.0,0,1,0.0,0
26,0.21,0.0,0.248,0.0,0.0,0.136,0.151,0.256,0.0,0.0,0.538,0.462,0.0,0.0,6,0,Formulation 11,273.9284057080585,5.928674158866222,0.3560401639506754,0.06675855699036169,1,420.0,0,1,0.21,0
27,0.348,0.0,0.348,0.0,0.0,0.164,0.139,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,Formulation 12,293.667056278445,13.2095249559183,0.3431760466130981,0.06544715075209262,1,696.0,0,1,0.348,0
28,0.217,0.0,0.254,0.0,0.0,0.22,0.31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,Formulation 13,288.2948988964133,7.330871424115795,0.3221037959045356,0.0515573181141819,1,434.0,0,1,0.217,0
29,0.297,0.0,0.0,0.0,0.0,0.228,0.475,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,Formulation 14,252.8253558187475,18.28621013258977,0.325074264952982,0.03900543421412103,1,594.0,0,1,0.297,0
30,0.004,0.0,0.446,0.0,0.0,0.21,0.339,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,Formulation 15,1000.0,0.0,1.0,0.0,0,0.0,0,1,0.0,0
31,0.275,0.0,0.0,0.0,0.0,0.256,0.469,0.0,0.0,0.0,0.549,0.451,0.0,0.0,4,0,Formulation 16,1000.0,0.0,1.0,0.0,0,0.0,0,1,0.0,0
32,0.269,0.0,0.237,0.0,0.0,0.199,0.212,0.083,0.0,0.0,0.0,1.0,0.0,0.0,5,0,Formulation 1,1000.0,0.0,1.0,0.0,0,0.0,0,2,0.0,0
33,0.368,0.0,0.0,0.0,0.0,0.0,0.632,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,Formulation 2,1000.0,0.0,1.0,0.0,0,0.0,0,2,0.0,0
34,0.357,0.0,0.287,0.0,0.0,0.213,0.143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,Formulation 3,275.5942660047033,5.433072875005084,0.3254254263322437,0.02593956551526219,1,714.0,0,2,0.357,0
35,0.405,0.0,0.356,0.0,0.0,0.239,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,Formulation 4,272.6969605966297,2.510373496789422,0.2972516750721521,0.003958974906615262,1,810.0000000000001,0,2,0.405,0
36,0.189,0.0,0.195,0.0,0.034,0.153,0.187,0.087,0.155,0.0,0.14,0.561,0.299,0.0,9,0,Formulation 5,296.012363817973,4.088638432111027,0.2779848565157981,0.003848894272577996,1,378.0000000000001,0,2,0.189,0
37,0.385,0.0,0.0,0.0,0.0,0.0,0.615,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,Formulation 6,255.4599672086165,4.598726014236425,0.3788228241443751,0.04939512300142981,1,770.0,0,2,0.385,0
38,0.302,0.0,0.302,0.0,0.0,0.145,0.251,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,Formulation 7,290.9507902778931,2.883849605123072,0.3316290668563726,0.05668627189037797,1,604.0,0,2,0.302,0
39,0.329,0.0,0.308,0.0,0.0,0.245,0.0,0.118,0.0,0.0,0.0,1.0,0.0,0.0,4,0,Formulation 8,267.4187611248569,8.022058924971638,0.1767810875036935,0.06343574827476704,1,658.0,0,2,0.329,0
40,0.34,0.0,0.259,0.0,0.0,0.337,0.0,0.065,0.0,0.0,0.0,1.0,0.0,0.0,4,0,Formulation 9,272.7138139968843,1.036557770121896,0.2546581569523548,0.02665626433181158,1,680.0000000000001,0,2,0.34,0
41,0.348,0.0,0.348,0.0,0.0,0.174,0.129,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,Formulation 10,275.239238407148,2.040534162802222,0.2495454094558623,0.02612493465608246,1,696.0,0,2,0.348,0
42,0.343,0.0,0.346,0.0,0.141,0.17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,Formulation 11,287.8128541520064,0.5080727600094707,0.3399349243744836,0.05907224061941747,1,686.0000000000001,0,2,0.343,0
43,0.251,0.0,0.214,0.0,0.054,0.22,0.189,0.073,0.0,0.0,0.0,1.0,0.0,0.0,6,0,Formulation 12,275.8501982106392,8.687060878934027,0.2742984280435919,0.1331693760769237,1,502.0,0,2,0.251,0
44,0.364,0.0,0.353,0.0,0.116,0.167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,Formulation 13,1000.0,0.0,1.0,0.0,0,0.0,0,2,0.0,0
